country,scenario,metric,year,value,cum_value,source
AFG,copd_cr2,cases,2025-01-01,0.0,0.0,copd
AFG,copd_cr2,cases,2026-01-01,0.0,0.0,copd
AFG,copd_cr2,cases,2027-01-01,0.0,0.0,copd
AFG,copd_cr2,cases,2028-01-01,0.0,0.0,copd
AFG,copd_cr2,cases,2029-01-01,0.0,0.0,copd
AFG,copd_cr2,cases,2030-01-01,0.0,0.0,copd
AFG,copd_cr2,cases,2031-01-01,0.0,0.0,copd
AFG,copd_cr2,cases,2032-01-01,0.0,0.0,copd
AFG,copd_cr2,cases,2033-01-01,0.0,0.0,copd
AFG,copd_cr2,cases,2034-01-01,0.0,0.0,copd
AFG,copd_cr2,cases,2035-01-01,0.0,0.0,copd
AFG,copd_cr2,cases,2036-01-01,0.0,0.0,copd
AFG,copd_cr2,cases,2037-01-01,0.0,0.0,copd
AFG,copd_cr2,cases,2038-01-01,0.0,0.0,copd
AFG,copd_cr2,cases,2039-01-01,0.0,0.0,copd
AFG,copd_cr2,cases,2040-01-01,0.0,0.0,copd
AFG,copd_cr2,cases,2041-01-01,0.0,0.0,copd
AFG,copd_cr2,cases,2042-01-01,0.0,0.0,copd
AFG,copd_cr2,cases,2043-01-01,0.0,0.0,copd
AFG,copd_cr2,cases,2044-01-01,0.0,0.0,copd
AFG,copd_cr2,cases,2045-01-01,0.0,0.0,copd
AFG,copd_cr2,cases,2046-01-01,0.0,0.0,copd
AFG,copd_cr2,cases,2047-01-01,0.0,0.0,copd
AFG,copd_cr2,cases,2048-01-01,0.0,0.0,copd
AFG,copd_cr2,cases,2049-01-01,0.0,0.0,copd
AFG,copd_cr2,cases,2050-01-01,0.0,0.0,copd
AFG,copd_cr2,deaths averted,2025-01-01,0.0,0.0,copd
AFG,copd_cr2,deaths averted,2026-01-01,0.0,0.0,copd
AFG,copd_cr2,deaths averted,2027-01-01,0.0,0.0,copd
AFG,copd_cr2,deaths averted,2028-01-01,0.0,0.0,copd
AFG,copd_cr2,deaths averted,2029-01-01,0.0,0.0,copd
AFG,copd_cr2,deaths averted,2030-01-01,0.0,0.0,copd
AFG,copd_cr2,deaths averted,2031-01-01,0.0,0.0,copd
AFG,copd_cr2,deaths averted,2032-01-01,0.0,0.0,copd
AFG,copd_cr2,deaths averted,2033-01-01,0.0,0.0,copd
AFG,copd_cr2,deaths averted,2034-01-01,0.0,0.0,copd
AFG,copd_cr2,deaths averted,2035-01-01,0.0,0.0,copd
AFG,copd_cr2,deaths averted,2036-01-01,0.0,0.0,copd
AFG,copd_cr2,deaths averted,2037-01-01,0.0,0.0,copd
AFG,copd_cr2,deaths averted,2038-01-01,0.0,0.0,copd
AFG,copd_cr2,deaths averted,2039-01-01,0.0,0.0,copd
AFG,copd_cr2,deaths averted,2040-01-01,0.0,0.0,copd
AFG,copd_cr2,deaths averted,2041-01-01,0.0,0.0,copd
AFG,copd_cr2,deaths averted,2042-01-01,0.0,0.0,copd
AFG,copd_cr2,deaths averted,2043-01-01,0.0,0.0,copd
AFG,copd_cr2,deaths averted,2044-01-01,0.0,0.0,copd
AFG,copd_cr2,deaths averted,2045-01-01,0.0,0.0,copd
AFG,copd_cr2,deaths averted,2046-01-01,0.0,0.0,copd
AFG,copd_cr2,deaths averted,2047-01-01,0.0,0.0,copd
AFG,copd_cr2,deaths averted,2048-01-01,0.0,0.0,copd
AFG,copd_cr2,deaths averted,2049-01-01,0.0,0.0,copd
AFG,copd_cr2,deaths averted,2050-01-01,0.0,0.0,copd
AFG,copd_cr2,economic benefit,2025-01-01,0.0,0.0,copd
AFG,copd_cr2,economic benefit,2026-01-01,1526413.9368925095,1526413.9368925095,copd
AFG,copd_cr2,economic benefit,2027-01-01,3064247.8603076935,4590661.797200203,copd
AFG,copd_cr2,economic benefit,2028-01-01,3076081.7248945236,7666743.522094727,copd
AFG,copd_cr2,economic benefit,2029-01-01,3087324.212061882,10754067.734156609,copd
AFG,copd_cr2,economic benefit,2030-01-01,3098414.8698120117,13852482.60396862,copd
AFG,copd_cr2,economic benefit,2031-01-01,3109701.2717056274,16962183.875674248,copd
AFG,copd_cr2,economic benefit,2032-01-01,3120071.263302803,20082255.13897705,copd
AFG,copd_cr2,economic benefit,2033-01-01,3129919.2278499603,23212174.36682701,copd
AFG,copd_cr2,economic benefit,2034-01-01,3138741.978878975,26350916.345705986,copd
AFG,copd_cr2,economic benefit,2035-01-01,3146938.8758125305,29497855.221518517,copd
AFG,copd_cr2,economic benefit,2036-01-01,3153296.7566490173,32651151.978167534,copd
AFG,copd_cr2,economic benefit,2037-01-01,3159427.7424488068,35810579.72061634,copd
AFG,copd_cr2,economic benefit,2038-01-01,3165286.3107070923,38975866.03132343,copd
AFG,copd_cr2,economic benefit,2039-01-01,3170634.6084423065,42146500.63976574,copd
AFG,copd_cr2,economic benefit,2040-01-01,3174678.2360773087,45321178.87584305,copd
AFG,copd_cr2,economic benefit,2041-01-01,3180580.329612732,48501759.20545578,copd
AFG,copd_cr2,economic benefit,2042-01-01,3185000.9596862793,51686760.16514206,copd
AFG,copd_cr2,economic benefit,2043-01-01,3187756.5870637894,54874516.75220585,copd
AFG,copd_cr2,economic benefit,2044-01-01,3188751.601507187,58063268.353713036,copd
AFG,copd_cr2,economic benefit,2045-01-01,3187628.103676796,61250896.45738983,copd
AFG,copd_cr2,economic benefit,2046-01-01,3186299.4845781326,64437195.941967964,copd
AFG,copd_cr2,economic benefit,2047-01-01,3183088.113509178,67620284.05547714,copd
AFG,copd_cr2,economic benefit,2048-01-01,3178005.962565422,70798290.01804256,copd
AFG,copd_cr2,economic benefit,2049-01-01,3170410.837240219,73968700.85528278,copd
AFG,copd_cr2,economic benefit,2050-01-01,3160126.394633293,77128827.24991608,copd
AFG,copd_cr2,healthy years lived,2025-01-01,0.0,0.0,copd
AFG,copd_cr2,healthy years lived,2026-01-01,6029.729999996722,6029.729999996722,copd
AFG,copd_cr2,healthy years lived,2027-01-01,12457.109999999404,18486.839999996126,copd
AFG,copd_cr2,healthy years lived,2028-01-01,12864.0,31350.839999996126,copd
AFG,copd_cr2,healthy years lived,2029-01-01,13280.380000002682,44631.21999999881,copd
AFG,copd_cr2,healthy years lived,2030-01-01,13706.259999997914,58337.47999999672,copd
AFG,copd_cr2,healthy years lived,2031-01-01,14146.240000002086,72483.71999999881,copd
AFG,copd_cr2,healthy years lived,2032-01-01,14596.240000002086,87079.9600000009,copd
AFG,copd_cr2,healthy years lived,2033-01-01,15056.80000000447,102136.76000000536,copd
AFG,copd_cr2,healthy years lived,2034-01-01,15528.390000000596,117665.15000000596,copd
AFG,copd_cr2,healthy years lived,2035-01-01,16011.019999995828,133676.1700000018,copd
AFG,copd_cr2,healthy years lived,2036-01-01,16522.589999996126,150198.7599999979,copd
